rprefer,rprefer_cond,wprefer,wprefer_cond
22,23,22,25
44,46,47,50
67,69,71,76
93,95,97,102
116,121,122,127
139,144,146,155
164,168,169,182
186,189,193,211
211,215,216,239
234,238,239,264
259,261,264,289
282,284,288,315
306,308,311,341
328,333,334,367
352,358,357,393
374,381,381,421
397,405,405,449
423,432,430,479
447,458,458,505
474,485,484,534
500,511,510,562
527,537,536,588
552,564,563,617
578,590,590,648
604,616,615,677
630,642,642,706
656,669,668,735
682,695,693,764
708,722,719,793
735,749,745,822
761,776,771,850
788,803,797,879
812,830,823,908
839,856,848,939
865,882,873,968
892,908,898,996
919,933,923,1023
944,959,948,1055
970,984,973,1085
997,1010,998,1111
1025,1042,1029,1140
1051,1069,1055,1170
1076,1095,1080,1199
1103,1121,1106,1228
1130,1148,1135,1257
1156,1171,1161,1286
1182,1198,1187,1314
1209,1225,1214,1343
1233,1251,1239,1372
1259,1277,1267,1401
1286,1302,1293,1429
1312,1328,1319,1459
1339,1355,1346,1488
1366,1382,1371,1515
1393,1407,1397,1544
1418,1433,1423,1572
1444,1461,1448,1608
1476,1492,1481,1638
1503,1521,1509,1666
1528,1547,1535,1695
1553,1574,1561,1721
1580,1600,1587,1751
1606,1628,1613,1780
1632,1652,1637,1810
1658,1680,1661,1837
1683,1704,1686,1866
1708,1729,1713,1895
1735,1756,1739,1923
1760,1782,1766,1953
1785,1807,1793,1982
1812,1832,1818,2008
1837,1857,1844,2036
1861,1882,1871,2066
1887,1908,1897,2096
1915,1933,1922,2125
1942,1960,1948,2155
1968,1986,1973,2184
1996,2012,1999,2213
2022,2038,2025,2242
2048,2064,2051,2271
2074,2089,2077,2301
2101,2116,2102,2329
2127,2142,2127,2359
2154,2168,2152,2389
2181,2195,2179,2418
2206,2222,2206,2447
2233,2249,2232,2476
2259,2274,2258,2505
2285,2299,2284,2534
2312,2326,2310,2564
2339,2352,2336,2592
2365,2380,2362,2622
2390,2408,2387,2651
2416,2434,2412,2680
2442,2460,2437,2709
2468,2486,2464,2738
2494,2512,2491,2766
2520,2539,2516,2795
2544,2566,2542,2823
2569,2593,2568,2854
